#! FIELDS l_1 file.free der_l_1
#! SET min_l_1 -10
#! SET max_l_1 4
#! SET nbins_l_1  201
#! SET periodic_l_1 false
  -10.000000000 -152.414817774   -0.000000000
   -9.930000000 -157.716114643  -39.500378083
   -9.860000000 -158.785965595    2.657216637
   -9.790000000 -158.166924333   10.398739528
   -9.720000000 -157.779958504   -0.794855071
   -9.650000000 -158.305607039  -13.169747206
   -9.580000000 -159.424871423  -17.101573046
   -9.510000000 -160.518876341  -13.166407124
   -9.440000000 -161.225632000   -7.064234548
   -9.370000000 -161.578852691   -3.570692338
   -9.300000000 -161.819641089   -3.708167993
   -9.230000000 -162.144701435   -5.555611665
   -9.160000000 -162.586936015   -6.739859362
   -9.090000000 -163.056549508   -6.323531929
   -9.020000000 -163.457854045   -5.021335172
   -8.950000000 -163.776282131   -4.141237028
   -8.880000000 -164.067964670   -4.237116445
   -8.810000000 -164.387230419   -4.759965418
   -8.740000000 -164.730011326   -4.814558517
   -8.670000000 -165.052369585   -4.223783635
   -8.600000000 -165.326900392   -3.596994330
   -8.530000000 -165.578969720   -3.616178750
   -8.460000000 -165.847034666   -4.336568009
   -8.390000000 -166.163235569   -4.911892798
   -8.320000000 -166.502342960   -4.980169896
   -8.250000000 -166.831172542   -4.694621331
   -8.180000000 -167.140177073   -4.468373124
   -8.110000000 -167.445302777   -4.531384780
   -8.040000000 -167.760768637   -4.833189307
   -7.970000000 -168.100931349   -5.129120079
   -7.900000000 -168.456102493   -5.347982844
   -7.830000000 -168.816029676   -5.147118006
   -7.760000000 -169.146838698   -4.511554142
   -7.690000000 -169.423898206   -3.726546144
   -7.620000000 -169.654309508   -3.236699263
   -7.550000000 -169.870679271   -3.384717055
   -7.480000000 -170.114372063   -3.935673201
   -7.410000000 -170.395605651   -4.308782693
   -7.340000000 -170.682215718   -4.041760202
   -7.270000000 -170.926300123   -3.159684014
   -7.200000000 -171.099745639   -2.171390480
   -7.130000000 -171.221993969   -1.746248540
   -7.060000000 -171.347064854   -2.281967787
   -6.990000000 -171.531903978   -3.298817942
   -6.920000000 -171.775120329   -3.838964290
   -6.850000000 -172.014674454   -3.078096960
   -6.780000000 -172.167996585   -1.515061927
   -6.710000000 -172.218185400   -0.453260216
   -6.640000000 -172.244801760   -0.878558735
   -6.570000000 -172.347786927   -2.414280887
   -6.500000000 -172.552991919   -3.571812874
   -6.430000000 -172.784050335   -3.055560375
   -6.360000000 -172.930151082   -1.368422554
   -6.290000000 -172.962335507   -0.051312099
   -6.220000000 -172.954445896   -0.278683611
   -6.150000000 -173.008691151   -1.643538047
   -6.080000000 -173.157375955   -2.738683577
   -6.010000000 -173.340718154   -2.607066034
   -5.940000000 -173.474922126   -1.467810584
   -5.870000000 -173.524993042   -0.377337324
   -5.800000000 -173.525843724   -0.081867605
   -5.730000000 -173.536119109   -0.573602625
   -5.660000000 -173.588285065   -1.241375692
   -5.590000000 -173.674522418   -1.512352384
   -5.520000000 -173.762652062   -1.247253538
   -5.450000000 -173.824158685   -0.820967763
   -5.380000000 -173.862397265   -0.666535501
   -5.310000000 -173.907869678   -1.071377161
   -5.240000000 -173.997496427   -1.776984754
   -5.170000000 -174.126820977   -2.184241344
   -5.100000000 -174.254706988   -1.581313614
   -5.030000000 -174.314016011   -0.395050648
   -4.960000000 -174.303271148    0.274716681
   -4.890000000 -174.293321938   -0.652123302
   -4.820000000 -174.396925475   -2.690286216
   -4.750000000 -174.637182662   -4.162119249
   -4.680000000 -174.905810114   -3.381035965
   -4.610000000 -175.036092330   -0.455331215
   -4.540000000 -174.948110485    2.412131282
   -4.470000000 -174.741037533    2.665707188
   -4.400000000 -174.629204686   -0.187020665
   -4.330000000 -174.765213239   -3.935368265
   -4.260000000 -175.104217062   -5.505032689
   -4.190000000 -175.427700522   -3.503096891
   -4.120000000 -175.523191408    0.511935071
   -4.050000000 -175.359676573    3.378700834
   -3.980000000 -175.107860616    2.930550663
   -3.910000000 -174.997875544   -0.340970421
   -3.840000000 -175.136290973   -3.785933907
   -3.770000000 -175.441926883   -4.768054506
   -3.700000000 -175.711741639   -2.856948951
   -3.630000000 -175.792484288    0.240391216
   -3.560000000 -175.687445722    2.111985923
   -3.490000000 -175.533101559    1.674279805
